"Gene Symbol","logFC","adj.P.Val","Regulation","Category","Biological Process (GO)","Protein Functions","Disease & Drugs"
"ADAM10",0.534066695366843,0.419511319799329,"Upregulated",NA,"GO:0051089 constitutive protein ectodomain proteolysis;GO:0038004 epidermal growth factor receptor ligand maturation;GO:0140246 protein catabolic process at synapse","ADAM10 is a gene that belongs to the ADAM family of cell surface proteins. It encodes a protein that has both adhesion and protease domains and is involved in cleaving various proteins, including TNF-alpha and E-cadherin. The gene undergoes alternate splicing, resulting in multiple transcript variants that encode different proteins with similar processing. ADAM10 is important in various biological processes, including cell adhesion, migration, and signaling. Dysregulation of ADAM10 has been linked to various diseases, including cancer, Alzheimer's disease, and asthma.","ADAM10 has been implicated in various diseases, including cancer, Alzheimer's disease, and asthma. In cancer, ADAM10 is involved in tumor growth, invasion, and metastasis. Targeting ADAM10 has been explored as a potential therapeutic strategy for cancer treatment. In Alzheimer's disease, ADAM10 is involved in the processing of amyloid precursor protein (APP) and the production of amyloid beta (Aβ) peptides, which are implicated in the pathogenesis of the disease. Targeting ADAM10 has been explored as a potential therapeutic strategy for Alzheimer's disease. In asthma, ADAM10 is involved in the shedding of the epithelial cell adhesion molecule (EpCAM), which is implicated in airway inflammation. Targeting ADAM10 has been explored as a potential therapeutic strategy for asthma. Several drugs targeting ADAM10 are currently in development, including small molecule inhibitors and monoclonal antibodies. One example of a successful drug targeting ADAM10 is TAPI-1, a small molecule inhibitor that has been shown to inhibit ADAM10 activity and reduce tumor growth in preclinical studies."
"ADAM17",0.691671175913483,0.348178028496841,"Upregulated","Stress response","GO:0033025 regulation of mast cell apoptotic process;GO:0071403 cellular response to high density lipoprotein particle stimulus;GO:0140447 cytokine precursor processing","ADAM17 is a gene that belongs to the ADAM family of proteins. These proteins are anchored to the cell membrane and are involved in various biological processes such as cell-cell and cell-matrix interactions, muscle development, and neurogenesis. The ADAM17 protein is produced from the preproprotein and functions in the shedding of tumor necrosis factor-alpha, which is released from the membrane-bound precursor. It also processes other substrates such as cell adhesion proteins, cytokine and growth factor receptors, and epidermal growth factor receptor ligands. ADAM17 plays a significant role in the activation of the Notch signaling pathway and is associated with autoimmune diseases such as psoriasis, rheumatoid arthritis, multiple sclerosis, and Crohn's disease. Additionally, it may play a role in viral infection by cleaving ACE2, the cellular receptor for SARS-CoV and SARS-CoV-2.","ADAM17 has been implicated in various diseases, including cancer, inflammation, and autoimmune disorders. In cancer, ADAM17 is involved in tumor growth, invasion, and metastasis by promoting the release of growth factors and cytokines. Inhibition of ADAM17 has been explored as a potential therapeutic strategy for cancer treatment. In inflammation and autoimmune disorders, ADAM17 is involved in the regulation of immune cell activation and cytokine release. Targeting ADAM17 has been investigated as a potential treatment for diseases such as rheumatoid arthritis, psoriasis, and multiple sclerosis. Several ADAM17 inhibitors have been developed and tested in preclinical and clinical studies, including TMI-005, INCB7839, and MEDI3622. TMI-005 has shown promising results in preclinical studies for the treatment of rheumatoid arthritis and psoriasis. INCB7839 has been tested in clinical trials for the treatment of solid tumors, while MEDI3622 is being developed for the treatment of cancer."
"ADAMTSL4-AS1",NA,NA,NA,NA,NA,NA,NA
"ADD3",0.584282225019045,0.407166175979243,"Upregulated",NA,"GO:0051016 barbed-end actin filament capping;GO:0045907 positive regulation of vasoconstriction;GO:0051693 actin filament capping","ADD3, also known as adducin 3, is a gene that encodes for a subunit of the adducin protein family. Adducins are involved in the assembly of the spectrin-actin network in erythrocytes and at sites of cell-cell contact in epithelial tissues. ADD3 specifically encodes for the beta subunit of adducin, which is primarily expressed in the brain and hematopoietic tissues. Polymorphisms in the alpha and beta subunits of adducin have been associated with the regulation of blood pressure in animal models of hypertension. The carboxy-terminal region of adducin is required for association with spectrin and actin, and alternatively spliced adducin gamma transcripts encoding different isoforms have been described. The functions of these isoforms are not yet known.","There is limited information available on the disease implications of ADD3. However, studies have suggested that polymorphisms in the alpha and beta subunits of adducin may be associated with hypertension and cardiovascular disease. Targeted drug discovery efforts for ADD3 have not been extensively explored, but some studies have investigated the potential of targeting adducin as a therapeutic strategy for hypertension. One example of a successful drug on the market that targets hypertension is spironolactone, which acts as an aldosterone antagonist and has been shown to reduce blood pressure in patients with hypertension. However, spironolactone does not specifically target ADD3 or adducin, and further research is needed to identify potential drug targets for this gene."
"ADGRG5",NA,NA,NA,"Signal transduction","GO:0007189 adenylate cyclase-activating G protein-coupled receptor signaling pathway;GO:0007188 adenylate cyclase-modulating G protein-coupled receptor signaling pathway;GO:0007186 G protein-coupled receptor signaling pathway","ADGRG5 is a gene that encodes a protein belonging to the adhesion family of G-protein coupled receptors. These receptors have long N-termini and multiple functional domains, and they may be involved in the immune system and the central nervous system. Alternative splicing of the gene results in multiple transcript variants.","ADGRG5 has been implicated in several diseases, including cancer, cardiovascular disease, and neurological disorders. In cancer, ADGRG5 has been shown to promote tumor growth and metastasis in various types of cancer, including breast, lung, and pancreatic cancer. In cardiovascular disease, ADGRG5 has been linked to hypertension and atherosclerosis. In the central nervous system, ADGRG5 has been associated with schizophrenia and bipolar disorder.

Targeted drug discovery efforts for ADGRG5 are still in the early stages, but there is potential for the development of drugs that target this receptor. One approach is to develop small molecule agonists or antagonists that can modulate the activity of ADGRG5. Another approach is to develop monoclonal antibodies that can bind to ADGRG5 and block its activity.

There are currently no drugs on the market that specifically target ADGRG5, but there are drugs that indirectly affect its activity. For example, statins, which are commonly used to lower cholesterol levels, have been shown to downregulate ADGRG5 expression in vascular smooth muscle cells. Additionally, some antipsychotic drugs, such as clozapine, have been shown to interact with ADGRG5 and modulate its activity."
"AGBL5-IT1",NA,NA,NA,NA,NA,NA,NA
"AGTPBP1",0.71400699505708,0.346377270056899,"Upregulated",NA,"GO:0098957 anterograde axonal transport of mitochondrion;GO:0098958 retrograde axonal transport of mitochondrion;GO:0035609 C-terminal protein deglutamylation","AGTPBP1, also known as NNA1, is a gene that encodes for a zinc carboxypeptidase. It contains nuclear localization signals and an ATP/GTP-binding motif. The gene was first discovered in regenerating spinal cord neurons of mice. The protein encoded by AGTPBP1 is involved in the regulation of protein degradation and has been linked to neurodegenerative diseases such as Alzheimer's and Parkinson's. The exact function of AGTPBP1 is still being studied, but it is believed to play a role in the maintenance of neuronal health and function.","AGTPBP1 has been linked to several neurodegenerative diseases, including Alzheimer's and Parkinson's. Studies have shown that mutations in the AGTPBP1 gene can lead to the accumulation of toxic proteins in the brain, which can contribute to the development of these diseases. As a result, AGTPBP1 has become a target for drug discovery efforts aimed at developing treatments for these conditions.

One approach to targeting AGTPBP1 is to develop drugs that can enhance its activity, thereby promoting the degradation of toxic proteins in the brain. Another approach is to develop drugs that can inhibit AGTPBP1, which could potentially slow the progression of neurodegenerative diseases by preventing the accumulation of toxic proteins.

There are currently no drugs on the market that specifically target AGTPBP1. However, there are several drugs that have been approved for the treatment of Alzheimer's and Parkinson's that may indirectly affect AGTPBP1 activity. For example, cholinesterase inhibitors such as donepezil and rivastigmine are commonly used to treat Alzheimer's disease, and have been shown to increase AGTPBP1 activity in animal models. Similarly, levodopa, a drug commonly used to treat Parkinson's disease, has been shown to increase AGTPBP1 expression in the brain.

Overall, while there is still much to learn about the role of AGTPBP1 in neurodegenerative diseases, it is clear that this gene represents a promising target for drug discovery efforts aimed at developing new treatments for these conditions."
"AIDA",0.622397745844618,0.349648568890495,"Upregulated","Signal transduction","GO:0048264 determination of ventral identity;GO:0043508 negative regulation of JUN kinase activity;GO:0048262 determination of dorsal/ventral asymmetry","AIDA (Axin Interactor, Dorsalization Associated) is a human gene that is predicted to have phosphatidylinositol binding activity and is located in the cytoplasm. It acts upstream or within the negative regulation of JUN kinase activity and is predicted to be active in the membrane. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of AIDA. However, some studies have suggested that AIDA may play a role in the development of certain cancers, including colorectal cancer and hepatocellular carcinoma. Targeted drug discovery efforts for AIDA are also limited, as the function of the gene is not well understood. Currently, there are no drugs on the market that specifically target AIDA. However, there are drugs that target the JUN kinase pathway, which AIDA is involved in negatively regulating. Examples of successful drugs that target this pathway include trametinib, which is used to treat melanoma, and ruxolitinib, which is used to treat myelofibrosis. Further research is needed to fully understand the role of AIDA in disease and to develop targeted therapies."
"ALCAM",0.608042475227036,0.370553837168732,"Upregulated",NA,"GO:0048846 axon extension involved in axon guidance;GO:1902284 neuron projection extension involved in neuron projection guidance;GO:0031290 retinal ganglion cell axon guidance","ALCAM, or activated leukocyte cell adhesion molecule, is a gene that encodes a protein known as CD166. This protein is a member of a subfamily of immunoglobulin receptors and has five immunoglobulin-like domains in its extracellular domain. ALCAM binds to T-cell differentiation antigen CD6 and is involved in cell adhesion and migration processes. There are multiple alternatively spliced transcript variants of ALCAM that encode different isoforms.","ALCAM has been implicated in various diseases, including cancer, inflammation, and autoimmune disorders. In cancer, ALCAM has been shown to promote tumor growth, invasion, and metastasis by enhancing cell adhesion and migration. Targeting ALCAM has been proposed as a potential therapeutic strategy for cancer treatment. In autoimmune disorders, ALCAM has been found to be involved in the activation and migration of immune cells, and blocking ALCAM has been shown to reduce disease severity in animal models. Several drugs targeting ALCAM are currently in development, including monoclonal antibodies and small molecule inhibitors. However, there are currently no FDA-approved drugs targeting ALCAM. Successful drugs targeting other immunoglobulin receptors include nivolumab and pembrolizumab, which target PD-1, and ipilimumab, which targets CTLA-4, all of which are used in cancer immunotherapy."
"ALDOC",-0.565906794164722,0.35125917880389,"Downregulated",NA,"GO:0030388 fructose 1,6-bisphosphate metabolic process;GO:0006000 fructose metabolic process;GO:0006094 gluconeogenesis","ALDOC is a gene that encodes a glycolytic enzyme called aldolase, fructose-bisphosphate C. This enzyme belongs to the class I fructose-biphosphate aldolase gene family and is expressed specifically in the hippocampus and Purkinje cells of the brain. Its main function is to catalyze the reversible aldol cleavage of fructose-1,6-biphosphate and fructose 1-phosphate to dihydroxyacetone phosphate and either glyceraldehyde-3-phosphate or glyceraldehyde, respectively. This gene is important for energy metabolism and is involved in various neurological processes.","Mutations in the ALDOC gene have been associated with various neurological disorders, including Alzheimer's disease, Parkinson's disease, and schizophrenia. In Alzheimer's disease, decreased expression of ALDOC has been observed in the hippocampus, which is a key region affected by the disease. This suggests that ALDOC may play a role in the pathogenesis of Alzheimer's disease. 

There have been efforts to target ALDOC for drug discovery, particularly in the context of cancer. ALDOC has been shown to be upregulated in various types of cancer, including lung cancer, breast cancer, and pancreatic cancer. Inhibition of ALDOC has been proposed as a potential therapeutic strategy for these cancers. 

One example of a successful drug targeting ALDOC is the anti-cancer drug, lonidamine. Lonidamine is a small molecule inhibitor of ALDOC that has been shown to have anti-tumor activity in preclinical studies. Another example is the drug, 3-bromopyruvate, which has been shown to inhibit ALDOC and has potential as a cancer therapy. However, further research is needed to fully understand the therapeutic potential of targeting ALDOC in cancer and other diseases."
"ALOX15",-1.1679849301792,0.403310229840667,"Downregulated",NA,"GO:1901074 regulation of engulfment of apoptotic cell;GO:2001303 lipoxin A4 biosynthetic process;GO:2001301 lipoxin biosynthetic process","ALOX15 is a gene that belongs to the lipoxygenase family of proteins. This gene encodes an enzyme that acts on different polyunsaturated fatty acid substrates to produce various bioactive lipid mediators, including eicosanoids, hepoxilins, lipoxins, and other molecules. The enzyme and its reaction products have been found to regulate inflammation and immunity. The human genome contains several pseudogenes of this gene.","ALOX15 has been implicated in various diseases, including asthma, atherosclerosis, cancer, and neurodegenerative disorders. In asthma, ALOX15 has been shown to play a role in airway inflammation and hyperresponsiveness. In atherosclerosis, ALOX15 has been found to promote the formation of foam cells and contribute to plaque formation. In cancer, ALOX15 has been shown to have both pro- and anti-tumor effects, depending on the cancer type and stage. In neurodegenerative disorders, ALOX15 has been linked to oxidative stress and inflammation.

Targeted drug discovery efforts for ALOX15 have focused on developing inhibitors of the enzyme for the treatment of various diseases. Several compounds have been identified as potential ALOX15 inhibitors, including zileuton, a drug approved for the treatment of asthma, and ML351, a compound that has shown promise in preclinical studies for the treatment of atherosclerosis and cancer.

Zileuton is a selective inhibitor of ALOX5, another member of the lipoxygenase family, but it also inhibits ALOX15. It works by blocking the production of leukotrienes, which are involved in inflammation and bronchoconstriction in asthma. Zileuton has been shown to improve lung function and reduce asthma symptoms in clinical trials.

In conclusion, ALOX15 is a gene that encodes an enzyme involved in the production of bioactive lipid mediators that regulate inflammation and immunity. It has been implicated in various diseases, and targeted drug discovery efforts have focused on developing inhibitors of the enzyme for the treatment of these diseases. Zileuton is an example of a successful drug on the market that targets ALOX15."
"ANKHD1-EIF4EBP3",-0.511423921045654,0.370553837168732,"Downregulated",NA,NA,"ANKHD1-EIF4EBP3 readthrough is a rare naturally occurring transcript of the ANKHD1 and EIF4EBP3 genes. This transcript encodes a protein that is mostly composed of multiple ankyrin repeats and a single KH-domain protein, with its C-terminus encoded in a different reading frame from the shared portion of the EIF4EBP3 gene. The function and significance of this readthrough mRNA and its protein product are currently unknown.","Unfortunately, there is currently no information available on disease implications or targeted drug discovery efforts for ANKHD1-EIF4EBP3 readthrough. As this is a rare and newly discovered transcript, research on its potential role in disease and therapeutic targeting is likely still in its early stages. Therefore, there are no known drugs on the market that target this transcript or its protein product. However, as research continues to uncover more information about ANKHD1-EIF4EBP3 readthrough, it may become a target for drug discovery efforts in the future."
"ANKRD28",0.50039479770057,0.440123429873211,"Upregulated",NA,"GO:0051894 positive regulation of focal adhesion assembly;GO:0150117 positive regulation of cell-substrate junction organization;GO:0001954 positive regulation of cell-matrix adhesion","ANKRD28 is a human gene that encodes for a protein with ankyrin repeat domains. These domains are known to be involved in protein-protein interactions and are found in a variety of proteins with diverse functions. ANKRD28 is predicted to be located in both the cytosol and nucleoplasm, suggesting that it may have roles in both cellular compartments. However, the specific functions of ANKRD28 are not yet well understood.","There is limited information available on the disease implications of ANKRD28. However, some studies have suggested that it may be involved in the development of certain cancers, such as breast cancer and hepatocellular carcinoma. Targeted drug discovery efforts for ANKRD28 are also currently limited, as its specific functions and mechanisms of action are not well understood. As a result, there are currently no drugs on the market that specifically target ANKRD28. However, there are drugs that target other proteins with ankyrin repeat domains, such as the ankyrin repeat and SOCS box-containing protein 2 (ASB2), which is involved in the regulation of cell proliferation and differentiation. Examples of drugs that target ASB2 include the proteasome inhibitor bortezomib, which is used to treat multiple myeloma, and the histone deacetylase inhibitor vorinostat, which is used to treat cutaneous T-cell lymphoma."
"ANKRD49",0.701595821939225,0.346377270056899,"Upregulated",NA,"GO:0007283 spermatogenesis;GO:0048232 male gamete generation;GO:0007276 gamete generation","ANKRD49 is a human gene that is involved in the positive regulation of transcription, DNA-templated. It is predicted to be located in the nucleus and active in the cytosol. The gene belongs to the ankyrin repeat domain family, which is known for its role in protein-protein interactions. The exact function of ANKRD49 is not yet fully understood, but it is believed to play a role in regulating gene expression. This information is provided by the Alliance of Genome Resources as of April 2022.","Unfortunately, there is currently limited information available on the disease implications and targeted drug discovery efforts for ANKRD49. As a relatively newly discovered gene, research on its potential role in disease is still ongoing. However, it is worth noting that the ankyrin repeat domain family, to which ANKRD49 belongs, has been implicated in a variety of diseases, including cancer, cardiovascular disease, and neurological disorders. 

As for successful drugs on the market targeting ANKRD49, there are currently none available. However, as research on the gene continues, it is possible that new drug targets and therapies may be identified. It is also worth noting that drugs targeting other members of the ankyrin repeat domain family, such as ankyrin itself, have been developed and are used to treat certain diseases. For example, sotatercept, a drug that targets the ankyrin repeat domain-containing protein 1 (ANKRD1), is used to treat anemia in patients with beta-thalassemia."
"ANXA1",0.807194908946826,0.346377270056899,"Upregulated",NA,"GO:0014839 myoblast migration involved in skeletal muscle regeneration;GO:0033031 positive regulation of neutrophil apoptotic process;GO:0045629 negative regulation of T-helper 2 cell differentiation","ANXA1, also known as annexin A1, is a gene that encodes a protein that is found in the cell membrane and binds to phospholipids. This protein has anti-inflammatory properties and inhibits the activity of phospholipase A2. The loss of function or expression of ANXA1 has been observed in various types of tumors. This suggests that ANXA1 may play a role in the development and progression of cancer.","ANXA1 has been implicated in various diseases, including cancer, inflammation, and cardiovascular disease. In cancer, ANXA1 has been shown to play a role in tumor growth, invasion, and metastasis. Targeting ANXA1 has been explored as a potential therapeutic strategy for cancer treatment. Several ANXA1-targeted drugs have been developed, including the peptide Ac2-26, which has shown promising results in preclinical studies for the treatment of cancer and inflammatory diseases. Another ANXA1-targeted drug, Anx-A1 mimetic peptide, has been shown to reduce inflammation and improve wound healing in animal models. However, there are currently no ANXA1-targeted drugs approved for clinical use. Further research is needed to fully understand the role of ANXA1 in disease and to develop effective therapies targeting this protein."
"ANXA3",1.30645048655721,0.346377270056899,"Upregulated","Stress response","GO:0043312 neutrophil degranulation;GO:0002283 neutrophil activation involved in immune response;GO:0002446 neutrophil mediated immunity","ANXA3, also known as annexin A3, is a gene that encodes a protein belonging to the annexin family. This protein is involved in the regulation of cellular growth and signal transduction pathways. It functions by inhibiting phospholipase A2 and cleaving inositol 1,2-cyclic phosphate to form inositol 1-phosphate. Additionally, ANXA3 may play a role in anti-coagulation. The protein is calcium-dependent and binds to phospholipids. ANXA3 is expressed in various tissues, including the liver, lung, and kidney. Mutations in this gene have been associated with various diseases, including cancer and autoimmune disorders.","ANXA3 has been implicated in various diseases, including cancer and autoimmune disorders. In cancer, ANXA3 has been shown to be overexpressed in several types of tumors, including breast, lung, and pancreatic cancer. Targeting ANXA3 has been proposed as a potential therapeutic strategy for cancer treatment. In autoimmune disorders, ANXA3 has been found to be a target of autoantibodies in patients with systemic lupus erythematosus (SLE) and Sjogren's syndrome. 

There are currently no drugs specifically targeting ANXA3 on the market. However, there have been efforts to develop drugs that target the protein. For example, a study found that a small molecule inhibitor of ANXA3 was able to inhibit the growth of breast cancer cells in vitro and in vivo. Another study found that a monoclonal antibody targeting ANXA3 was able to inhibit the growth of lung cancer cells in vitro and in vivo. These findings suggest that targeting ANXA3 may be a promising approach for cancer treatment. However, further research is needed to develop effective drugs targeting ANXA3 for clinical use."
